Row	Sample Name	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level(Unit)	Problem Name	Step Name	Attempt At Step	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC(Default)	KC Category(Default)	KC(Single-KC)	KC Category(Single-KC)	KC(Unique-step)	KC Category(Unique-step)	School	Class	CF(USERID)	CF(tool_event_time)	CF(tutor_event_time)
19	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:10.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option5 UpdateMultipleChoice	1	CORRECT	LT_problem2_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC40		CMU			2010-02-04 19:50:10.417 UTC	2010-02-04 19:50:14.068 UTC
20	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:14.0	US/Eastern	1.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option6 UpdateMultipleChoice	1	CORRECT	LT_problem2_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC22		CMU			2010-02-04 19:50:14.161 UTC	2010-02-04 19:50:14.333 UTC
21	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:14.0	US/Eastern	1.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option7 UpdateMultipleChoice	1	INCORRECT	LT_problem2_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC154		CMU			2010-02-04 19:50:14.442 UTC	2010-02-04 19:50:14.629 UTC
22	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:14.0	US/Eastern	1.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option7 UpdateMultipleChoice	2	INCORRECT	LT_problem2_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC154		CMU			2010-02-04 19:50:14.707 UTC	2010-02-04 19:50:14.941 UTC
23	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:17.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option7 UpdateMultipleChoice	3	CORRECT	LT_problem2_option7	UpdateMultipleChoice	True					unnamed		Single-KC		KC154		CMU			2010-02-04 19:50:17.112 UTC	2010-02-04 19:50:17.335 UTC
24	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:27.0	US/Eastern	70	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option1 UpdateMultipleChoice	1	CORRECT	LT_problem3_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC85		CMU			2010-02-04 19:51:27.827 UTC	2010-02-04 19:51:28.046 UTC
25	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:28.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option2 UpdateMultipleChoice	1	CORRECT	LT_problem3_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC88		CMU			2010-02-04 19:51:28.280 UTC	2010-02-04 19:51:28.482 UTC
26	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:28.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option3 UpdateMultipleChoice	1	CORRECT	LT_problem3_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC80		CMU			2010-02-04 19:51:28.841 UTC	2010-02-04 19:51:29.091 UTC
27	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:29.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option4 UpdateMultipleChoice	1	CORRECT	LT_problem3_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC4		CMU			2010-02-04 19:51:29.294 UTC	2010-02-04 19:51:29.496 UTC
28	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:29.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option5 UpdateMultipleChoice	1	CORRECT	LT_problem3_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC27		CMU			2010-02-04 19:51:29.668 UTC	2010-02-04 19:51:29.933 UTC
29	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:30.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem3_option6 UpdateMultipleChoice	1	CORRECT	LT_problem3_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC98		CMU			2010-02-04 19:51:30.214 UTC	2010-02-04 19:51:30.620 UTC
30	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option1 UpdateMultipleChoice	1	CORRECT	LT_problem4_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC7		CMU			2010-02-04 19:51:31.181 UTC	2010-02-04 19:51:31.353 UTC
31	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option2 UpdateMultipleChoice	1	CORRECT	LT_problem4_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC108		CMU			2010-02-04 19:51:31.571 UTC	2010-02-04 19:51:31.743 UTC
32	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:31.0	US/Eastern	0.333	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option3 UpdateMultipleChoice	1	CORRECT	LT_problem4_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC73		CMU			2010-02-04 19:51:31.961 UTC	2010-02-04 19:51:32.195 UTC
33	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:32.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option4 UpdateMultipleChoice	1	CORRECT	LT_problem4_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC116		CMU			2010-02-04 19:51:32.492 UTC	2010-02-04 19:51:32.679 UTC
34	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:33.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option5 UpdateMultipleChoice	1	CORRECT	LT_problem4_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC149		CMU			2010-02-04 19:51:33.038 UTC	2010-02-04 19:51:33.240 UTC
35	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:51:33.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem4_option6 UpdateMultipleChoice	1	CORRECT	LT_problem4_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC47		CMU			2010-02-04 19:51:33.396 UTC	2010-02-04 19:51:33.584 UTC
36	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-28307837:1269a9fd70a:-8000	2010-02-04 15:15:57.0	US/Eastern	1	ATTEMPT				Pre-Test Version A	ATest																	CMU		NUPEXMXaM		
37	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:23:35.0	US/Eastern	0	ATTEMPT				Pre-Test Version A	ATest																	CMU		NUPEXMXaM		
38	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:09.0	US/Eastern	274	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem1_box UpdateTextField	1	CORRECT	eq_problem1_box	UpdateTextField	1					unnamed		Single-KC		KC130		CMU			2010-02-04 20:28:09.267 UTC	2010-02-04 20:28:09.485 UTC
39	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:10.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem2_box UpdateTextField	1	CORRECT	eq_problem2_box	UpdateTextField	2					unnamed		Single-KC		KC125		CMU			2010-02-04 20:28:10.390 UTC	2010-02-04 20:28:10.577 UTC
40	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:11.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem3_box UpdateTextField	1	CORRECT	eq_problem3_box	UpdateTextField	3					unnamed		Single-KC		KC87		CMU			2010-02-04 20:28:11.201 UTC	2010-02-04 20:28:11.404 UTC
41	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:11.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem4_box UpdateTextField	1	CORRECT	eq_problem4_box	UpdateTextField	4					unnamed		Single-KC		KC104		CMU			2010-02-04 20:28:11.981 UTC	2010-02-04 20:28:12.153 UTC
42	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:12.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem5_box UpdateTextField	1	CORRECT	eq_problem5_box	UpdateTextField	5					unnamed		Single-KC		KC141		CMU			2010-02-04 20:28:12.699 UTC	2010-02-04 20:28:12.886 UTC
43	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:13.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem6_box UpdateTextField	1	CORRECT	eq_problem6_box	UpdateTextField	6					unnamed		Single-KC		KC23		CMU			2010-02-04 20:28:13.978 UTC	2010-02-04 20:28:14.150 UTC
44	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:16.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem5_option6 UpdateMultipleChoice	1	CORRECT	LT_problem5_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC139		CMU			2010-02-04 20:28:16.989 UTC	2010-02-04 20:28:17.160 UTC
45	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:37.0	US/Eastern	21	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option1 UpdateMultipleChoice	1	CORRECT	effective_problem1_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC89		CMU			2010-02-04 20:28:37.955 UTC	2010-02-04 20:28:38.142 UTC
46	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:38.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option2 UpdateMultipleChoice	1	CORRECT	effective_problem1_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC63		CMU			2010-02-04 20:28:38.267 UTC	2010-02-04 20:28:38.423 UTC
47	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:38.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option3 UpdateMultipleChoice	1	CORRECT	effective_problem1_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC61		CMU			2010-02-04 20:28:38.657 UTC	2010-02-04 20:28:38.813 UTC
48	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:39.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem1_option4 UpdateMultipleChoice	1	CORRECT	effective_problem1_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC34		CMU			2010-02-04 20:28:39.094 UTC	2010-02-04 20:28:39.250 UTC
49	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:40.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option1 UpdateMultipleChoice	1	CORRECT	effective_problem2_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC16		CMU			2010-02-04 20:28:40.061 UTC	2010-02-04 20:28:40.248 UTC
50	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:41.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option3 UpdateMultipleChoice	1	CORRECT	effective_problem2_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC26		CMU			2010-02-04 20:28:41.574 UTC	2010-02-04 20:28:41.746 UTC
51	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:42.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option4 UpdateMultipleChoice	1	CORRECT	effective_problem2_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC51		CMU			2010-02-04 20:28:42.573 UTC	2010-02-04 20:28:42.729 UTC
52	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:43.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem2_option2 UpdateMultipleChoice	1	CORRECT	effective_problem2_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC39		CMU			2010-02-04 20:28:43.228 UTC	2010-02-04 20:28:43.384 UTC
53	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:46.0	US/Eastern	3	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option1 UpdateMultipleChoice	1	CORRECT	effective_problem3_option1	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC136		CMU			2010-02-04 20:28:46.878 UTC	2010-02-04 20:28:47.050 UTC
54	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:47.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option2 UpdateMultipleChoice	1	CORRECT	effective_problem3_option2	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC109		CMU			2010-02-04 20:28:47.237 UTC	2010-02-04 20:28:47.393 UTC
55	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:47.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option3 UpdateMultipleChoice	1	CORRECT	effective_problem3_option3	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC74		CMU			2010-02-04 20:28:47.596 UTC	2010-02-04 20:28:47.752 UTC
56	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:48.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	effective_problem3_option4 UpdateMultipleChoice	1	CORRECT	effective_problem3_option4	UpdateMultipleChoice	Agree					unnamed		Single-KC		KC70		CMU			2010-02-04 20:28:48.719 UTC	2010-02-04 20:28:48.875 UTC
57	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:49.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option1 UpdateMultipleChoice	1	CORRECT	eqexp_problem1_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC82		CMU			2010-02-04 20:28:49.717 UTC	2010-02-04 20:28:49.936 UTC
58	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:50.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option2 UpdateMultipleChoice	1	CORRECT	eqexp_problem1_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC107		CMU			2010-02-04 20:28:50.076 UTC	2010-02-04 20:28:50.232 UTC
59	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:50.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option3 UpdateMultipleChoice	1	CORRECT	eqexp_problem1_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC79		CMU			2010-02-04 20:28:50.965 UTC	2010-02-04 20:28:51.137 UTC
60	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:52.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option4 UpdateMultipleChoice	1	CORRECT	eqexp_problem1_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC144		CMU			2010-02-04 20:28:52.213 UTC	2010-02-04 20:28:52.385 UTC
61	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:52.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem1_option5 UpdateMultipleChoice	1	CORRECT	eqexp_problem1_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC96		CMU			2010-02-04 20:28:52.572 UTC	2010-02-04 20:28:52.728 UTC
62	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:55.0	US/Eastern	1.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option1 UpdateMultipleChoice	1	CORRECT	eqexp_problem2_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC53		CMU			2010-02-04 20:28:55.645 UTC	2010-02-04 20:28:55.801 UTC
63	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:55.0	US/Eastern	1.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option2 UpdateMultipleChoice	1	CORRECT	eqexp_problem2_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC19		CMU			2010-02-04 20:28:55.973 UTC	2010-02-04 20:28:56.129 UTC
64	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:57.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option4 UpdateMultipleChoice	1	CORRECT	eqexp_problem2_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC127		CMU			2010-02-04 20:28:57.985 UTC	2010-02-04 20:28:58.157 UTC
65	All Data	Stu_437a876c59e12385077b3687e78f8e92	L-263fefad:1269aa6d7b0:-8000	2010-02-04 15:28:57.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eqexp_problem2_option3 UpdateMultipleChoice	1	CORRECT	eqexp_problem2_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC57		CMU			2010-02-04 20:28:57.018 UTC	2010-02-04 20:28:57.190 UTC
