student_name	problem_name	skill	selection	actual input	subgoal_name	outcome
STU_9kMr STU_9kMr	14 = -22x-94	typein	LHS	108/-22	[108/-22 = -22x/-22]typein	OK
STU_9kMr STU_9kMr	14 = -22x-94	typein	RHS	-22x/-22	[108/-22 = -22x/-22]typein	OK
STU_9kMr STU_9kMr	14 = -22x-94	rf	SKILL	-22x/-22	[108/-22 = -22x/-22]rf	OK
STU_9kMr STU_9kMr	14 = -22x-94	typein	RHS	x	FinalAnswer	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	add	SKILL	5886	[-3256 = 5886-8374x]add	BUG
STU_9kMr STU_9kMr	-3256 = 5886-8374x	subtract	SKILL	5886	[-3256 = 5886-8374x]subtract	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	typein	LHS	-9142	[-3256-5886 = 5886-8374x-5886]typein	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	typein	RHS	-8374x	[-3256-5886 = 5886-8374x-5886]typein	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	divide	SKILL	-8374	[-9142 = -8374x]divide	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	typein	LHS	1.091712443	[-9142/-8374 = -8374x/-8374]typein	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	typein	RHS	-8374x/-8374	[-9142/-8374 = -8374x/-8374]typein	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	rf	SKILL	-8374x/-8374	[-9142/-8374 = -8374x/-8374]rf	OK
STU_9kMr STU_9kMr	-3256 = 5886-8374x	typein	RHS	x	FinalAnswer	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	add	SKILL	50	[-48/y-50 = 15]add	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	typein	LHS	-48/y-50+50	[-48/y-50+50 = 15+50]typein	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	typein	RHS	15+50	[-48/y-50+50 = 15+50]typein	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	clt	SKILL	-48/y-50+50	[-48/y-50+50 = 15+50]clt	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	typein	LHS	-48/y	FinalAnswer	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	typein	RHS	65	FinalAnswer	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	multiply	SKILL	y	[-48/y = 65]multiply	OK
STU_9kMr STU_9kMr	-48/y-50 = 15	typein	RHS	65y	[-48/y*y = 65y]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	subtract	SKILL	60	[-11/x+60 = 67]subtract	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-11/x+60-60	[-11/x+60-60 = 67-60]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	RHS	7	[-11/x+60-60 = 67-60]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	clt	SKILL	-11/x+60-60	[-11/x+60-60 = 7]clt	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-11/x	FinalAnswer	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	RHS	7	FinalAnswer	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	multiply	SKILL	7	[-11/X = 7]multiply	BUG
STU_9kMr STU_9kMr	-11/x+60 = 67	multiply	SKILL	11	[-11/X = 7]multiply	ERROR
STU_9kMr STU_9kMr	-11/x+60 = 67	multiply	SKILL	X	[-11/X = 7]multiply	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	RHS	7X	[-11/X*x = 7x]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-11X	[-11/X*x = 7x]typein	ERROR
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-11/X-11X	[-11/X*x = 7x]typein	ERROR
STU_9kMr STU_9kMr	-11/x+60 = 67	multiply	SKILL	X	[-11/X = 7]multiply	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	RHS	7X	[-11/X*x = 7x]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-11	[-11/X*x = 7x]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	divide	SKILL	7	[-11 = 7x]divide	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	RHS	X	[-11/7 = 7x/7]typein	OK
STU_9kMr STU_9kMr	-11/x+60 = 67	typein	LHS	-1.5714	[-11/7 = 7x/7]typein	OK
STU_9kMr STU_9kMr	-220+948/x = -137	add	SKILL	-220	[-220+948/x = -137]add	BUG
STU_9kMr STU_9kMr	-220+948/x = -137	add	SKILL	220	[-220+948/x = -137]add	OK
STU_9kMr STU_9kMr	-220+948/x = -137	typein	LHS	948/X	[-220+948/x+220 = -137+220]typein	OK
STU_9kMr STU_9kMr	-220+948/x = -137	typein	RHS	83	[-220+948/x+220 = -137+220]typein	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	subtract	SKILL	61.23	[61.23+34.19x = -36.58]subtract	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	typein	LHS	34.19X	[61.23+34.19x-61.23 = -36.58-61.23]typein	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	typein	RHS	-97.81	[61.23+34.19x-61.23 = -36.58-61.23]typein	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	divide	SKILL	34.19	[34.19X = -97.81]divide	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	typein	LHS	X	[34.19X/34.19 = -97.81/34.19]typein	OK
STU_Hrje STU_Hrje	61.23+34.19x = -36.58	typein	RHS	-2.860778005	[34.19X/34.19 = -97.81/34.19]typein	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	subtract	SKILL	343	[-9545 = 343+6727x]subtract	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	typein	RHS	6727X	[-9545-343 = 343+6727x-343]typein	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	typein	LHS	-9888	[-9545-343 = 343+6727x-343]typein	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	divide	SKILL	6727	[-9888 = 6727X]divide	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	typein	RHS	X	[-9888/6727 = 6727X/6727]typein	OK
STU_Hrje STU_Hrje	-9545 = 343+6727x	typein	LHS	-1.469897428	[-9888/6727 = 6727X/6727]typein	OK
STU_Hrje STU_Hrje	31+31x = -50	subtract	SKILL	31	[31+31x = -50]subtract	OK
STU_Hrje STU_Hrje	31+31x = -50	typein	LHS	31X	[31+31x-31 = -50-31]typein	OK
STU_Hrje STU_Hrje	31+31x = -50	typein	RHS	-81	[31+31x-31 = -50-31]typein	OK
STU_Hrje STU_Hrje	31+31x = -50	divide	SKILL	31	[31X = -81]divide	OK
STU_Hrje STU_Hrje	31+31x = -50	typein	LHS	X	[31X/31 = -81/31]typein	OK
STU_Hrje STU_Hrje	31+31x = -50	typein	RHS	-2.612903226	[31X/31 = -81/31]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	subtract	SKILL	76	[95/y+76 = 10]subtract	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	LHS	95/y	[95/y+76-76 = 10-76]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	RHS	-66	[95/y+76-76 = 10-76]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	multiply	SKILL	y	[95/y = -66]multiply	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	LHS	95	[95/y*y = -66y]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	RHS	-66y	[95/y*y = -66y]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	divide	SKILL	-66	[95 = -66y]divide	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	RHS	y	[95/-66 = -66y/-66]typein	OK
STU_Hrje STU_Hrje	95/y+76 = 10	typein	LHS	-1.4393	[95/-66 = -66y/-66]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	subtract	SKILL	542	[-361 = 542-79/x]subtract	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	RHS	-79/x	[-361-542 = 542-79/x-542]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	LHS	-903	[-361-542 = 542-79/x-542]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	multiply	SKILL	x	[-903 = -79/x]multiply	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	RHS	-79	[-903x = -79/x*x]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	LHS	-903x	[-903x = -79/x*x]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	divide	SKILL	-903	[-903x = -79]divide	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	LHS	x	[-903x/-903 = -79/-903]typein	OK
STU_Hrje STU_Hrje	-361 = 542-79/x	typein	RHS	0.0874	[-903x/-903 = -79/-903]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	add	SKILL	28	[-41 = -74/y-28]add	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	RHS	-74/y	[-41+28 = -74/y-28+28]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	LHS	69	[-41+28 = -74/y-28+28]typein	ERROR
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	LHS	6-13	[-41+28 = -74/y-28+28]typein	ERROR
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	LHS	-13	[-41+28 = -74/y-28+28]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	multiply	SKILL	y	[-13 = -74/y]multiply	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	LHS	-13y	[-13y = -74/y*y]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	RHS	-74	[-13y = -74/y*y]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	divide	SKILL	-13	[-13y = -74]divide	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	LHS	y	[-13y/-13 = -74/-13]typein	OK
STU_Hrje STU_Hrje	-41 = -74/y-28	typein	RHS	5.6923	[-13y/-13 = -74/-13]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	add	SKILL	4x	[-5x-4 = -6-4x]add	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	RHS	-6	[-5x-4+4x = -6-4x+4x]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	LHS	-1x	[-5x-4+4x = -6-4x+4x]typein	ERROR
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	LHS	-1x-4	[-5x-4+4x = -6-4x+4x]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	add	SKILL	4	[-1x-4 = -6]add	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	LHS	-1x	[-1x-4+4 = -6+4]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	RHS	-2	[-1x-4+4 = -6+4]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	divide	SKILL	-1	[-1x = -2]divide	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	LHS	x	[-1x/-1 = -2/-1]typein	OK
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	RHS	-2	[-1x/-1 = -2/-1]typein	BUG
STU_Hrje STU_Hrje	-5x-4 = -6-4x	typein	RHS	2	[-1x/-1 = -2/-1]typein	OK
STU_Hrje STU_Hrje	6y-2 = 3y+5	subtract	SKILL	5	[6y-2 = 3y+5]subtract	OK
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	RHS	3y	[6y-2-5 = 3y+5-5]typein	OK
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-(-3)	[6y-2-5 = 3y+5-5]typein	BUG
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-5	[6y-2-5 = 3y+5-5]typein	ERROR
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-(-5)	[6y-2-5 = 3y+5-5]typein	ERROR
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-(-7)	[6y-2-5 = 3y+5-5]typein	ERROR
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-3	[6y-2-5 = 3y+5-5]typein	ERROR
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y--3	[6y-2-5 = 3y+5-5]typein	BUG
STU_Hrje STU_Hrje	6y-2 = 3y+5	typein	LHS	6y-2-5	[6y-2-5 = 3y+5-5]typein	OK
STU_Hrje STU_Hrje	6y-2 = 3y+5	clt	SKILL	6y-2-5	[6y-2-5 = 3y]clt	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	add	SKILL	8X	[-8x+1 = -4+8x]add	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	LHS	1	[-8x+1+8x = -4+8x+8x]typein	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	RHS	-4+16X	[-8x+1+8x = -4+8x+8x]typein	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	add	SKILL	4	[1 = -4+16X]add	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	LHS	5	[1+4 = -4+16X+4]typein	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	RHS	20X	[1+4 = -4+16X+4]typein	ERROR
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	RHS	20X	[1+4 = -4+16X+4]typein	ERROR
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	RHS	16X	[1+4 = -4+16X+4]typein	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	divide	SKILL	16	[5 = 16X]divide	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	RHS	X	[5/16 = 16X/16]typein	OK
STU_Hrje STU_Hrje	-8x+1 = -4+8x	typein	LHS	0.3125	[5/16 = 16X/16]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	add	SKILL	5X	[0+4x = 3+5x]add	ERROR
STU_Hrje STU_Hrje	0+4x = 3+5x	subtract	SKILL	4X	[0+4x = 3+5x]subtract	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	LHS	0	[0+4x-4x = 3+5x-4x]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	RHS	1X	[0+4x-4x = 3+5x-4x]typein	ERROR
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	RHS	3+1X	[0+4x-4x = 3+5x-4x]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	subtract	SKILL	3	[0 = 3+1X]subtract	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	LHS	-3	[0-3 = 3+1X-3]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	RHS	1X	[0-3 = 3+1X-3]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	divide	SKILL	1	[-3 = 1X]divide	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	RHS	X	[-3/1 = 1X/1]typein	OK
STU_Hrje STU_Hrje	0+4x = 3+5x	typein	LHS	-3	[-3/1 = 1X/1]typein	OK
STU_Hrje STU_Hrje	-2.86y-0.83 = -7.35y-6.21	add	SKILL	0.83	[-2.86y-0.83 = -7.35y-6.21]add	OK
STU_Hrje STU_Hrje	-2.86y-0.83 = -7.35y-6.21	typein	LHS	-2.86y	[-2.86y-0.83+0.83 = -7.35y-6.21+0.83]typein	OK
STU_Hrje STU_Hrje	-2.86y-0.83 = -7.35y-6.21	typein	RHS	7.04	[-2.86y-0.83+0.83 = -7.35y-6.21+0.83]typein	ERROR
STU_Hrje STU_Hrje	-2.86y-0.83 = -7.35y-6.21	typein	RHS	-7.35y-7.04	[-2.86y-0.83+0.83 = -7.35y-6.21+0.83]typein	BUG
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	add	SKILL	6.4y	[8.61-6.4y = -9.89y+9.89]add	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	LHS	8.61	[8.61-6.4y+6.4y = -9.89y+9.89+6.4y]typein	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	RHS	-3.49y+9.89	[8.61-6.4y+6.4y = -9.89y+9.89+6.4y]typein	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	subtract	SKILL	8.61	[8.61 = -3.49y+9.89]subtract	BUG
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	subtract	SKILL	9.89	[8.61 = -3.49y+9.89]subtract	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	RHS	-3.49y	[8.61-9.89 = -3.49y+9.89-9.89]typein	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	LHS	-1.28	[8.61-9.89 = -3.49y+9.89-9.89]typein	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	divide	SKILL	-3.49	[-1.28 = -3.49y]divide	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	RHS	y	[-1.28/-3.49 = -3.49y/-3.49]typein	OK
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	LHS	-4.77	[-1.28/-3.49 = -3.49y/-3.49]typein	ERROR
STU_Hrje STU_Hrje	8.61-6.4y = -9.89y+9.89	typein	LHS	0.3667	[-1.28/-3.49 = -3.49y/-3.49]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	subtract	SKILL	5.38x	[5.38x-7.57 = -0.86+7.39x]subtract	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	LHS	7.57	[5.38x-7.57-5.38x = -0.86+7.39x-5.38x]typein	BUG
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	LHS	-7.57	[5.38x-7.57-5.38x = -0.86+7.39x-5.38x]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	RHS	2.01x	[5.38x-7.57-5.38x = -0.86+7.39x-5.38x]typein	ERROR
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	RHS	-0.86+2.01x	[5.38x-7.57-5.38x = -0.86+7.39x-5.38x]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	add	SKILL	0.86	[-7.57 = -0.86+2.01x]add	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	RHS	2.01x	[-7.57+0.86 = -0.86+2.01x+0.86]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	LHS	-6.71	[-7.57+0.86 = -0.86+2.01x+0.86]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	divide	SKILL	2.01	[-6.71 = 2.01x]divide	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	RHS	x	[-6.71/2.01 = 2.01x/2.01]typein	OK
STU_Hrje STU_Hrje	5.38x-7.57 = -0.86+7.39x	typein	LHS	-3.3383	[-6.71/2.01 = 2.01x/2.01]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	subtract	SKILL	4.01x	[-8.47x-4.85 = 4.04+4.01x]subtract	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	RHS	4.04	[-8.47x-4.85-4.01x = 4.04+4.01x-4.01x]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	-12.48	[-8.47x-4.85-4.01x = 4.04+4.01x-4.01x]typein	ERROR
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	-12.48x	[-8.47x-4.85-4.01x = 4.04+4.01x-4.01x]typein	ERROR
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	-12.48x-4.85	[-8.47x-4.85-4.01x = 4.04+4.01x-4.01x]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	add	SKILL	4.85	[-12.48x-4.85 = 4.04]add	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	-12.48	[-12.48x-4.85+4.85 = 4.04+4.85]typein	BUG
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	-12.48x	[-12.48x-4.85+4.85 = 4.04+4.85]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	RHS	8.89	[-12.48x-4.85+4.85 = 4.04+4.85]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	divide	SKILL	-12.48	[-12.48x = 8.89]divide	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	LHS	x	[-12.48x/-12.48 = 8.89/-12.48]typein	OK
STU_Hrje STU_Hrje	-8.47x-4.85 = 4.04+4.01x	typein	RHS	-0.7123	[-12.48x/-12.48 = 8.89/-12.48]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	add	SKILL	-9.99	[-9.99-7.2y = -4.03y+7.91]add	BUG
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	subtract	SKILL	7.91	[-9.99-7.2y = -4.03y+7.91]subtract	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	RHS	-4.03Y	[-9.99-7.2y-7.91 = -4.03y+7.91-7.91]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	LHS	-17.9-7.2y	[-9.99-7.2y-7.91 = -4.03y+7.91-7.91]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	add	SKILL	7.2y	[-17.9-7.2y = -4.03Y]add	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	LHS	-17.9	[-17.9-7.2y+7.2y = -4.03Y+7.2y]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	RHS	3.17	[-17.9-7.2y+7.2y = -4.03Y+7.2y]typein	ERROR
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	RHS	3.17y	[-17.9-7.2y+7.2y = -4.03Y+7.2y]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	divide	SKILL	3.17	[-17.9 = 3.17y]divide	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	RHS	y	[-17.9/3.17 = 3.17y/3.17]typein	OK
STU_Hrje STU_Hrje	-9.99-7.2y = -4.03y+7.91	typein	LHS	-5.6466	[-17.9/3.17 = 3.17y/3.17]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	add	SKILL	4407.57	[483.45y-8567.76 = -14.06y-4407.57]add	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	RHS	-14.06y	[483.45y-8567.76+4407.57 = -14.06y-4407.57+4407.57]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	LHS	483.45y-4160.19	[483.45y-8567.76+4407.57 = -14.06y-4407.57+4407.57]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	subtract	SKILL	483.45y	[483.45y-4160.19 = -14.06y]subtract	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	LHS	-4130.19	[483.45y-4160.19-483.45y = -14.06y-483.45y]typein	ERROR
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	LHS	-4160.19	[483.45y-4160.19-483.45y = -14.06y-483.45y]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	RHS	-497.51	[483.45y-4160.19-483.45y = -14.06y-483.45y]typein	ERROR
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	RHS	-497.51y	[483.45y-4160.19-483.45y = -14.06y-483.45y]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	divide	SKILL	-497.51	[-4160.19 = -497.51y]divide	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	RHS	y	[-4160.19/-497.51 = -497.51y/-497.51]typein	OK
STU_Hrje STU_Hrje	483.45y-8567.76 = -14.06y-4407.57	typein	LHS	8.362	[-4160.19/-497.51 = -497.51y/-497.51]typein	OK
STU_Hrje STU_Hrje	-61.08-9.61x = -29.02-15.97x	add	SKILL	-15.97x	[-61.08-9.61x = -29.02-15.97x]add	ERROR
STU_Hrje STU_Hrje	-61.08-9.61x = -29.02-15.97x	add	SKILL	15.97x	[-61.08-9.61x = -29.02-15.97x]add	OK
STU_Hrje STU_Hrje	-61.08-9.61x = -29.02-15.97x	typein	RHS	-29.02	[-61.08-9.61x+15.97x = -29.02-15.97x+15.97x]typein	OK
STU_Hrje STU_Hrje	-61.08-9.61x = -29.02-15.97x	typein	LHS	-67.44	[-61.08-9.61x+15.97x = -29.02-15.97x+15.97x]typein	ERROR
STU_Hrje STU_Hrje	-61.08-9.61x = -29.02-15.97x	typein	LHS	-61.08-6.36x	[-61.08-9.61x+15.97x = -29.02-15.97x+15.97x]typein	ERROR
