Problem Name	1	2	3	4	5	6	7	8	9	10	11
%(row2_1.operationTickets1-Hint2)%	Do you need to multiply or divide to get from the original number of tickets (12) to the new number of tickets (60)?	Do you need to multiply or divide to get from the original number of months (3) to the new number of months (12)?	Do you need to multiply or divide to get from the original number of hours (6) to the new number of hours (2)?	Do you need to multiply or divide to get from the original number of hours (60) to the new number of hours (15)?	Do you need to multiply or divide to get from the original number of lollipops (24) to the new number of lollipops (12)?	Do you need to multiply or divide to get from the original number of soda cans (24) to the new number of soda cans (6)?	Do you need to multiply or divide to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh Boxes (8 oz.)?	Do you need to multiply or divide to get from the original number of cookies (48) to the new number of cookies (12)?	Do you need to multiply or divide to get from the original number of gallons (15) to the new number of gallons (45)?	Do you need to multiply or divide to get from the original amount of macaroni (12 oz) to the new amount of macaroni (48 oz.)?	Do you need to multiply or divide to get from the original area painted (16 sq. feet) to the new area painted (80 sq. feet)?
%(row2_1.operationTickets1-Hint3)%	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.
%(row2_1.operationTickets1-Wvalue)%	/	/	*	*	*	*	*	*	/	/	/
%(row2_1.operationTickets1-BugMsg)%	60 is greater than 12, so you can not use division to get from the original number of tickets (12) to the new number of tickets(60).	12 is greater than 3, so you can not use division to get from the original number of months (3) to the new number of months(12).	2 is less than 6, so you can not use multiplication to get from the original number of hours (6) to the new number of hours(2).	15 is less than 60, so you can not use multiplication to get from the original number of hours (60) to the new number of hours(15).	12 is less than 24, so you can not use multiplication to get from the original number of lollipops (24) to the new number of lollipops(12).	6 is less than 24, so you can not use multiplication to get from the original number of soda cans (24) to the new number of soda cans(6).	8 is less than 24, so you can not use multiplication to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (8 oz.)	12 is less than 48, so you can not use multiplication to get from the original number of cookies (48) to the new number of cookies(12).	45 is greater than 15, so you can not use division to get from the original number of gallons (15) to the new number of gallons(45).	48 is greater than 12, so you can not use division to get from the original amount of macaroni (12 oz.) to the new amount of macaroni(48 oz.).	80 is greater than 16, so you can not use division to get from the original area painted (16 sq. feet) to the new area painted(80 sq. feet).
%(row2_1.multiplierDivisorTickets1-Rvalue)%	5	4	3	4	2	4	3	4	3	4	5
%(row2_1.multiplierDivisorTickets1-Hint1)%	How do you get from the original number of tickets (12) to the new number of tickets (60)? What do you multiply by?	How do you get from the original number of months (3) to the new number of months (12)? What do you multiply by?	How do you get from the original number of hours (6) to the new number of hours (2)? What do you divide by?	How do you get from the original number of hours (60) to the new number of hours (15)? What do you divide by?	How do you get from the original number of lollipops (24) to the new number of lollipops (12)? What do you divide by?	How do you get from the original number of soda cans (24) to the new number of soda cans (6)? What do you divide by?	How do you get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (8 oz.)? What do you divide by?	How do you get from the original number of cookies (48) to the new number of cookies (12)? What do you divide by?	How do you get from the original number of gallons (15) to the new number of gallons (45)? What do you multiply by?	How do you get from the original amount of macaroni (12 oz.) to the new amount of macaroni (48 oz.)? What do you multiply by?	How do you get from the original area painted (16 sq. feet) to the new area painted (80 sq. feet)? What do you multiply by?
%(row2_1.multiplierDivisorTickets1-Hint2)%	You can use division to help you find the multiplier. The answer to 60/12 will be the multiplier.	You can use division to help you find the multiplier. The answer to 12/3 will be the multiplier.	You can use multiplication to help you find the divisor. What can you multiply by 2 to get 6?	You can use multiplication to help you find the divisor. What can you multiply by 15 to get 60?	You can use multiplication to help you find the divisor. What can you multiply by 12 to get 24?	You can use multiplication to help you find the divisor. What can you multiply by 6 to get 24?	You can use multiplication to help you find the divisor. What can you multiply by 8 to get 24?	You can use multiplication to help you find the divisor. What can you multiply by 12 to get 48?	You can use division to help you find the multiplier. The answer to 45/15 will be the multiplier.	You can use division to help you find the multiplier. The answer to 48/12 will be the multiplier.	You can use division to help you find the multiplier. The answer to 80/16 will be the multiplier.
%(row2_1.multiplierDivisorTickets1-Hint3)%	60/12 = 5, so 12*5 = 60. Your multiplier will therefore be 5.	12/3 = 4, so 3*4 = 12. Your multiplier will therefore be 4.	2*3=6, so 6/3 = 2. Your divisor will therefore be 3.	15*4=60, so 60/4 = 15. Your divisor will therefore be 4.	12*2=24, so 24/2 = 12. Your divisor will therefore be 2.	6*4=24, so 24/4 = 6. Your divisor will therefore be 4.	8*3=24, so 24/3 = 8. Your divisor will therefore be 3.	12*4=48, so 48/4 = 12. Your divisor will therefore be 4.	45/15 = 3, so 15*3 = 45. Your multiplier will therefore be 3.	48/12 = 4, so 12*4 = 48. Your multiplier will therefore be 4.	80/16 = 5, so 16*5 = 80. Your multiplier will therefore be 5.
%(row2_1.multiplierDivisorTickets1-Hint4)%	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.
%(row2_1.multiplierDivisorTickets1-BugMsg)%	12*<%=input%> does not equal 60	3*<%=input%> does not equal 12	6/<%=input%> does not equal 2	60/<%=input%> does not equal 15	24/<%=input%> does not equal 12	24/<%=input%> does not equal 6	24/<%=input%> does not equal 8	48/<%=input%> does not equal 12	15*<%=input%> does not equal 45	12*<%=input%> does not equal 48	16*<%=input%> does not equal 80
%(row2_1.operationCost1-Rvalue)%	*	*	/	/	/	/	/	/	*	*	*
%(row2_1.operationCost1-Hint1)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Did you use multiplication or division to find the new number of tickets (60)?	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Do you use multiplication or division to find the new number of months (12)?	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Do you use multiplication or division to find the new number of hours(2)?	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Do you use multiplication or division to find the new number of hours (15)?	To keep the problem the same, the operator must be the same for the number of lollipops and the cost of the lollipops. Do you use multiplication or division to find the new number of lollipops(12)?	To keep the problem the same, the operator must be the same for the number of soda cans and the cost of the soda cans. Do you use multiplication or division to find the new number of soda cans(6)?	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and the cost of the Fruit-Oh boxes. Do you use multiplication or division to find the new size of Fruit-Oh boxes(8 oz.)?	To keep the problem the same, the operator must be the same for the number of cookies and the cost of the cookies. Do you use multiplication or division to find the new number of cookies(12)?	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Did you use multiplication or division to find the new number of gallons (45)?	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of macaroni. Do you use multiplication or division to find the new amount of macaroni (48 oz.)?	To keep the problem the same, the operator must be the same for the area painted and the time required to paint. Do you use multiplication or division to find the new area painted (80 sq. feet)?
%(row2_1.operationCost1-Hint2)%	If you multiplied the number of tickets to get from the original number of tickets (12) to the new number of tickets (60), then you should multiply to get from the original cost of tickets ($18) to the new cost of tickets.	If you used multiplication to get from the original number of months (3) to the new number of months (12), then you should use multiplication to get from the original cost of the service ($60) to the new cost of the service.	If you used division to get from the original number of hours (6) to the new number of hours (2), then you should use division to get from the cost of the pass for 6 hours ($30) to the cost of the pass for 2 hours.	If you used division to get from the original number of hours (60) to the new number of hours (15), then you should use division to get from the money earned for 60 hours ($120) to the money earned for 15 hours.	If you used division to get from the original number of lollipops (24) to the new number of lollipops (12), then you should use division to get from the cost of 24 lollipops ($12) to the cost of 12 lollipops.	If you used division to get from the original number of soda cans (24) to the new number of soda cans (6), then you should use division to get from the cost of 24 soda cans ($8.40) to the cost of 6 soda cans.	If you used division to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (8 oz.), then you should use division to get from the cost of a 24 oz. Fruit-Oh box ($3) to the cost of a 8 oz. Fruit-Oh box.	If you used division to get from the original number of cookies (48) to the new number of cookies (12), then you should use division to get from the cost of 48 cookies ($26.40) to the cost of 12 cookies.	If you multiplied the number of gallons to get from the original number of gallons (15) to the new number of gallons (45), then you should multiply to get from the number of miles 15 gallons gives (45) to the number of miles 45 gallons gives.	If you used multiplication to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (48 oz.), then you should use multiplication to get from the original cost of macaroni ($3) to the new cost of macaroni.	If you used multiplication to get from the original area painted (16 sq. feet) to the new area painted (80 sq. feet), then you should use multiplication to get from the original time required to paint 16 sq. feet (12 mins) to the time required to paint 80 sq. feet.
%(row2_1.operationCost1-Hint3)%	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '/' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.	Please select '*' from the highlighted menu.
%(row2_1.operationCost1-Wvalue)%	/	/	*	*	*	*	*	*	/	/	/
%(row2_1.operationCost1-BugMsg)%	To keep the problem the same, the operator must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of soda cans and their cost. Look at the row labeled "Soda Cans" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the size of Fruit-Oh boxes and their cost. Look at the row labeled "Size(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of cookies and their cost. Look at the row labeled "Cookies" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct operator.	To keep the problem the same, the operator must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct operator.
%(row2_1.multiplierDivisorCost1-RValue)%	5	4	3	4	2	4	3	4	3	4	5
%(row2_1.multiplierDivisorCost1-Hint1)%	To keep the problem the same, the multiplier must be the same for the number of tickets you buy and the cost of the tickets. What is the multiplier you used to get from the original number of tickets (12) to the new number of tickets (60)?	To keep the problem the same, the multiplier must be the same for the number of months and the cost of the service. What is the multiplier you used to get from the original number of months (3) to the new number of months (12)?	To keep the problem the same, the divisor must be the same for the number of hours and the cost of the pass. What is the divisor you used to get from the original number of hours (6) to the new number of hours(2)?	To keep the problem the same, the divisor must be the same for the number of hours worked and the money earned. What is the divisor you used to get from the original number of hours (60) to the new number of hours(15)?	To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. What is the divisor you used to get from the original number of lollipops (24) to the new number of lollipops(12)?	To keep the problem the same, the divisor must be the same for the number of soda cans and their cost. What is the divisor you used to get from the original number of soda cans (24) to the new number of soda cans(6)?	To keep the problem the same, the divisor must be the same for the size of Fruit-Oh boxes and their cost. What is the divisor you used to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes(8 oz.)?	To keep the problem the same, the divisor must be the same for the number of cookies and their cost. What is the divisor you used to get from the original number of cookies (48) to the new number of cookies(12)?	To keep the problem the same, the multiplier must be the same for the number of gallons and the number of miles it gives. What is the multiplier you used to get from the original number of gallons (15) to the new number of gallons (45)?	To keep the problem the same, the multiplier must be the same for the amount of macaroni and the cost of it. What is the multiplier you used to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (48 oz.)?	To keep the problem the same, the multiplier must be the same for the area painted and the time required to paint it. What is the multiplier you used to get from the original area painted (16 sq. feet) to the new area painted (80 sq. feet)?
%(row2_1.multiplierDivisorCost1-Hint2)%	If you multiplied the number of tickets by 5 to get from the original number of tickets (12) to the new number of tickets (60), then you should multiply the original cost of tickets ($18) by 5 to get to the new cost of tickets.	If you multiplied the number of months by 4 to get from the original number of months (3) to the new number of months (12), then you should multiply the original cost of service ($60) by 4 to get to the new cost of service.	If you divided the number of hours by 3 to get from the original number of hours (6) to the new number of hours (2), then you should divide the cost of the pass for 6 hours ($30) by 3 to get the cost of the pass for 2 hours.	If you divided the number of hours by 4 to get from the original number of hours (60) to the new number of hours (15), then you should divide the money earned for 60 hours ($120) by 4 to get the money earned for 15 hours.	If you divided the number of lollipops by 2 to get from the original number of lollipops (24) to the new number of lollipops (12), then you should divide the cost of 24 lollipops ($12) by 2 to get the cost of 12 lollipops.	If you divided the number of soda cans by 4 to get from the original number of soda cans (24) to the new number of soda cans (6), then you should divide the cost of 24 soda cans ($8.40) by 4 to get the cost of 6 soda cans.	If you divided the size of Fruit-Oh boxes by 3 to get from the original size of Fruit-Oh boxes (24 oz.) to the new size of Fruit-Oh boxes (8 oz.), then you should divide the cost of a 24 oz. Fruit-Oh box ($3) by 3 to get the cost of a 8 oz. Fruit-Oh box.	If you divided the number of cookies by 4 to get from the original number of cookies (48) to the new number of cookies (12), then you should divide the cost of 48 cookies ($26.40) by 4 to get the cost of 12 cookies.	If you multiplied the number of gallons by 3 to get from the original number of gallons (15) to the new number of gallons (45), then you should multiply the number of miles 15 gallons gives(45) by 3 to get to the number of miles 45 gallons gives.	If you multiplied the amount of macaroni by 4 to get from the original amount of macaroni (12 oz.) to the new amount of macaroni (48 oz.), then you should multiply the original cost of macaroni ($3) by 4 to get to the new cost of macaroni.	If you multiplied the area painted by 5 to get from the original area painted (16 sq. feet) to the new area painted (80 sq. feet), then you should multiply the time required to paint 16 sq. feet (12 mins) by 5 to get to the time required to paint 80 sq. feet.
%(row2_1.multiplierDivisorCost1-Hint3)%	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.
%(row2_1.multiplierDivisorCost1-BugMsg)%	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of tickets you buy and the cost of the tickets. Look at the row labeled "Tickets" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of months and the cost of the service. Look at the row labeled "Months" to figure out the correct multiplier.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of hours and the cost of the pass. Look at the row labeled "Hours" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of hours worked and the money earned. Look at the row labeled "Hours" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of lollipops and their cost. Look at the row labeled "Lollipops" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of soda cans and their cost. Look at the row labeled "Soda Cans" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the size of Fruit-Oh boxes and their cost. Look at the row labeled "Size(oz.)" to figure out the correct divisor.	<%=input%> is not the correct divisor. To keep the problem the same, the divisor must be the same for the number of cookies and their cost. Look at the row labeled "Cookies" to figure out the correct divisor.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the number of gallons and the number of miles it gives. Look at the row labeled "Gallons" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the amount of macaroni and the cost of it. Look at the row labeled "Amount(oz.)" to figure out the correct multiplier.	<%=input%> is not the correct multiplier. To keep the problem the same, the multiplier must be the same for the area painted and the time required to paint it. Look at the row labeled "Area(sq. feet)" to figure out the correct multiplier.
%(row2_1.totalCost1-RValue)%	90	240	10	30	6	2.10	1	6.60	135	12	60
%(row2_1.totalCost1-Hint1)%	The new cost of tickets under Option 1 is the original cost of tickets ($18) multiplied by the multiplier (5)	The new cost of the service for 12 months under Option 1 is the original cost of the service ($60) multiplied by the multiplier (4)	The cost of the pass for 2 hours under Option 1 is the cost of the pass for 6 hours ($30) divided by the divisor (3).	The money earned for 15 hours under Option 1 is the money earned for 60 hours ($120) divided by the divisor (4).	The cost of 12 lollipops under Option 1 is the cost of 24 lollipops ($12) divided by the divisor (2).	The cost of 6 soda cans under Option 1 is the cost of 24 soda cans ($8.40) divided by the divisor (4).	The cost of an 8 oz. Fruit-Oh box under Option 1 is the cost of a 24 oz. Fruit-Oh box ($3) divided by the divisor (3).	The cost of 12 cookies under Option 1 is the cost of 48 cookies ($26.40) divided by the divisor (4).	The number of miles 45 gallons gives under Option 1 is the number of miles 15 gallons gives (45) multiplied by the multiplier (3).	The cost of 48 oz. of macaroni under Option 1 is the cost of 12 oz. ($3) multiplied by the multiplier (4)	The time required to paint 80 sq. feet under Option 1 is the time required to paint 16 sq. feet (12 mins) multiplied by the multiplier (5)
%(row2_1.totalCost1-Hint2)%	The new cost of tickets under Option 1 equals 18*5 = 90.	The new cost of the service for 12 months under Option 1 equals 60*4 = 240.	The cost of the pass for 2 hours under Option 1 equals 30/3 = 10	The money earned for 15 hours under Option 1 equals 120/4 = 30	The cost of 12 lollipops under Option 1 equals 12/2 = 6	The cost of 6 soda cans under Option 1 equals 8.40/4 = 2.10	The cost of an 8 oz. Fruit-Oh box under Option 1 equals 3/3 = 1	The cost of 12 cookies under Option 1 equals 26.40/4 = 6.60	The number of miles 45 gallons gives under Option 1 equals 45*3 =135.	The cost of 48 oz. of macaroni under Option 1 equals 3*4 = 12.	The time required to paint 80 sq. feet under Option 1 equals 12*5 = 60.
%(row2_1.totalCost1-Hint3)%	Please enter '90' in the highlighted field.	Please enter '240' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '2.10' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '6.60' in the highlighted field.	Please enter '135' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '60' in the highlighted field.
%(row2_1.totalCost1-BugMsg)%	18*5 does not equal <%=input%>	60*4 does not equal <%=input%>	30/3 does not equal <%=input%>	120/4 does not equal <%=input%>	12/2 does not equal <%=input%>	8.40/4 does not equal <%=input%>	3/3 does not equal <%=input%>	26.40/4 does not equal <%=input%>	45*3 does not equal <%=input%>	3*4 does not equal <%=input%>	12*5 does not equal <%=input%>
%(secondMid1-RValue)%	90	240	10	30	6	2.10	1	6.60	135	12	60
%(secondMid1-Hint1)%	Under Option 1, you have worked out what the cost of 60 tickets will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of service for 12 months will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of the pass for 2 hours will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the money earned for 15 hours will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 12 lollipops will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 6 soda cans will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of an 8 oz. Fruit-Oh box will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 12 cookies will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the number of miles 45 gallons will give is. Enter that value in the highlighted field.	Under Option 1, you have worked out what the cost of 48 oz. of macaroni will be. Enter that value in the highlighted field.	Under Option 1, you have worked out what the time required to paint 80 sq. feet is. Enter that value in the highlighted field.
