Tutorin Phase,Question Type,Questions
During,Summarization of action and subgoal,
During,Justification of similarity or dissimilarity on contrasting case,";	Not performing trans on both sides 3x+4 = 15 & subtract 4: Something is wrong here. In the beginning when we had <<equation>>, we needed to add 4 to 3x which was equal to 15. Now after <<transformation subtract 4>>, we have <<new equation>>, where 3x equals to 15 means 3x itself is equal to 15. It does not make sense. Can you explain what’s wrong here? Or how can we make things right?
;	Incorrect transformation entered by tutor (-10 +8 ): I think it should be “-2” because if we start at negative 10 in number line and move 8 bars to the positive directions of number line, it gives me a negative 2 which means -10+8 will give us -2.  
;	When we solved 4x = 15, I did divide 4 since 4 is multiplied with x and divide 4 will cancel the multiplied 4 and isolate x on the LHS. Now, we have x/4 = 15. Why can’t I divide _ now?
;	Earlier when we had 3x – 9 = 15, why did we divide 3 instead of add 9?
;	– 12 = 2x – 15; : I am confused because I thought we should apply add 12 here since earlier when we had 3x – 12 = 3, I was taught to add 12 on both sides because LHS has -12. Can you explain why can’t we apply add 12 now?
;	2x + 4 = 5 “subtract 5”. Earlier when we had 2x – 4 = 5, we did add 4 in order to eliminate 4 from LHS and it helped us to reach our goal. I was taught that if LHS has number along with variable term, we always get rid of that number. Can you explain why can’t we eliminate 4 from LHS similarly? 
;	2x -9 = 3x + 8 add 9; Earlier in the quiz problem where I had 2x + 9 = 3x + 8 and I performed “add 9”. I got incorrect answer. I am taught that if LHS has a number with variable term, I should add that number. Then why was I wrong in the quiz? // KB and tutor stated action coincides but has defect in the production rule.
	"
During,Query prompt for better alternative goal/actions by focusing alternative parts of the problem,";	2x + 4 = 5 “divide 2”. I thought I should add 4 here because I was taught that if LHS has number along with variable term, we always get rid of that number. Why did you choose divide 2 instead of add 4?
;	2x + 4 = 5 “subtract 5”; Why did you focus on 5 here? Why did not we try to eliminate 4 from LHS or 2 from LHS? How can you be certain that “subtract 5” will be the correct action to do here?"
During,Merging similar production rules for. One scenario,";	2x +12 = 19. We can apply add -12; I am confused. I thought subtract 12 should be applied here. Why cant I apply subtract 12 here?"
During,Update conditionals by adding exceptional cases,";2x – 12 = 16, I think divide 2 can also be applied here. Can you explain why do you prefer to apply add 12 for this case instead of divide 2?"
During,Prompt to provide similar more examples and analysis of different parts of examples,";	Can you present some other examples for which add 12 can be applied?
;	What are the similarities in all of these equations that hint me to apply add 12?
;	Does -12 has to be on the right of variable term?"
During,Query on different parts of the action,";	2x – 12 = 16; add 12 => I have always seen add comes with a positive number like add 12, add 13. Do we always need a positive number to use the add operation?"
During,Simplification to known problem shape,";	7r – 8 = 55. This equation does not look like any of the equations we already know how to solve. But if we can isolate 7r on one side, then we will have we have an equation we know how to solve. Do you know how to isolate 7r from 8?
;	Do you know which part of the equation we should be looking at in order to know our next action?
;	X+7 = 0; I know that if there is an isolated variable term in the LHS, then we can say the equation is solved. How can we transform this equation to a form where x in isolated on the LHS?"
During,validation on why Tutee KB agrees with tutor's action,";15 = 2x – 15; Earlier, when we had 2x – 15 = 9, I did add 15 because LHS has -15. We are applying add 15 because of the -15 in the LHS right? // Here although tutee’s KB coincides, it also asks for validation if it got this right logically or accidentally.
"
Post,Matching solution steps with prior plan,
