Questions,Tag,Questions
"<<tutee>> failed again on all quiz items/ failed all quiz items again. More practice on  two step equations  can help <<tutee>> pass the quiz!.;; Since <<tutee>> failed on  <<two step equations>>  on the quiz, giving << 4w+8 = 8 >>  would help <<tutee>> correct the mistakes.;; Start by putting  <<4w+8>>  on the left hand side and  <<8>>  on the right hand side of the tutoring interface.",failed again on all quiz items,"Tutee failed again on all quiz items/ failed all quiz items again. More practice on  {{ two step equations || type of equation}} can help tutee pass the quiz!.;; Since tutee failed on {{ two step equations || type of equation}} in the quiz, giving  {{ two step equations || type of equation}}  would help tutee correct the mistakes.;; You can see how  {{ two step equations || type of equation}} looks like from ""Problem Bank"" section;; Start by putting expressions to the left of equal sign on the left hand side and expressions to the right of equal sign on the right hand side of the tutoring interface."
<<tutee>> is having some trouble passing the quiz.;; You can refresh your memory on  two step equations  by going through the available resources;; You should go to the  Examples  tab and review the section about  two step equations  equations.;; Click on the  Examples  tab and review the section about  two step equations  equations.,having some trouble passing the quiz,Tutee is having some trouble passing the quiz.;; You can refresh your memory on  {{ two step equations || type of equation}}  by going through the available resources;; You should go to the  Examples tab and review the section about  two step equations  equations.;; Click on the  Examples  tab and instructions will appear on what to do next.
<<tutee>> is asking for help. You should tell <<tutee>> the next step.,asking for help,Tutee is asking for help. You should tell tutee the next step.
I see that <<tutee>> seems to be solving problems without getting stuck. It would be a good strategy to see if what <<tutee>> learned is correct;; Quizzing <<tutee>> will help you see if whatEvangelina learned is correct.;; Go to the Quiz tab and click the Quiz button ,seems to be solving problems without getting stuck,I see that tutee seems to be solving problems without getting stuck. It would be a good strategy to see if what tutee learned is correct;; Quizzing tutee will help you see if what it learned is correct.;; Go to the Quiz tab and instructions will appear on how to conduct quiz.
"I see  <<tutee>> passed this quiz section, it might be helpful to understand what else your student knows. So it would be a good idea to quiz  <<tutee>> again now.;; Go to the Quiz tab and click the Quiz button",what else your student knows.,"I see tutee passed this quiz section, it might be helpful to understand what else your student knows. So it would be a good idea to quiz tutee again now.;; Go to the Quiz tab and instructions will appear on how to conduct quiz."
Put all of the terms referring to z on the same side of the equation.;; Move <expression>2z</expression> to the right side.;; Subtract <expression>2z</expression> from both sides.,Put all of the terms referring,Put all of the terms referring to variable on the same side of the equation.;; Move {{ 2z || variable}} to the right side.;; {{ Subtract 2z || exact action}} from both sides.
Put all of the terms referring to c on the same side of the equation.;Move <expression>9c</expression> to the left side.;; Add <expression>9c</expression> to both sides.,Put all of the terms referring,Put all of the terms referring to constant on the same side of the equation.;; Move {{ c || constant}} to the left side.;; {{ Add c || exact action}} to both sides.
Put the equation in its simplest form.;; Perform multiplication to remove '1' coefficients.,Put the equation in its simplest form,Put the equation in its simplest form.;; Perform multiplication to remove the coefficients.
Put the equation in its simplest form;; Perform multiplication,Put the equation in its simplest form,Put the equation in its simplest form;; Perform multiplication
"Remember, the video shows you how to teach <<tutee>>. Why don't you watch the video again?;",the video shows you how to teach,"Remember, the video shows you how to teach tutee. Why don't you watch the video again?;"
<<tutee>> is asking you to justify your answer. You should answer <<tutee>>’s question.,justify your answer,Tutee is asking you to justify your answer. You should answer tutee’s question.
There is an error somewhere in <<tutee>> 's solution. You should try having <<tutee>> solve the problem again.;; Click the restart button.,There is an error somewhere,There is an error somewhere in tutee's solution. You should try having tutee solve the problem again.;; Click the restart button.
What can you do to both sides of the equation to eliminate the constant value from the left side?;; <expression>-3</expression> is the constant value on the left side. What can you do to both sides of the equation to eliminate the <expression>-3</expression> (make it zero)?;; You can add <expression>3</expression> to both sides of the equation to eliminate the constant value of <expression>-3</expression> (<expression>-3</expression> + <expression>3</expression> = 0).,to eliminate the constant value,What can you do to both sides of the equation to eliminate the constant value from the left side?;; <expression>-3</expression> is the constant value on the left side. What can you do to both sides of the equation to eliminate the <expression>-3</expression> (make it zero)?;; You can add <expression>3</expression> to both sides of the equation to eliminate the constant value of <expression>-3</expression> (<expression>-3</expression> + <expression>3</expression> = 0).
"What can you do to both sides to get 3v+2 by itself?;; In (3v+2)/3 , 3v+2 is divided by 3. How do you undo division?;; Multiply both sides by 3.",by itself,"What can you do to both sides to get 3v+2 by itself?;; In (3v+2)/3 , 3v+2 is divided by 3. How do you undo division?;; Multiply both sides by 3."
What can you do to both sides to get the c by itself?;; <expression>-16c</expression> is <expression>-16</expression> times c. How do you undo multiplication?;; Divide both sides by <expression>-16</expression>.,by itself,What can you do to both sides to get the c by itself?;; <expression>-16c</expression> is <expression>-16</expression> times c. How do you undo multiplication?;; Divide both sides by <expression>-16</expression>.
What do you get when you apply the transformation add -8 to 7c-10?;; You need to enter 7c-18   on the left side.,when you apply the transformation add,What do you get when you apply the transformation add -8 to 7c-10?;; You need to enter 7c-18   on the left side.
What do you get when you apply the transformation divide -12 to -7?;;You need to enter 7/12   on the right side.,when you apply the transformation divide,What do you get when you apply the transformation divide -12 to -7?;;You need to enter 7/12   on the right side.
What do you get when you apply the transformation multiply 3 to (3v+2)/3?;; You need to enter 3v+2   on the left side.,when you apply the transformation multiply,What do you get when you apply the transformation multiply 3 to (3v+2)/3?;; You need to enter 3v+2   on the left side.
What do you get when you apply the transformation subtract -10 to -10-6y?;; You need to enter -6y   on the left side.,when you apply the transformation subtract,What do you get when you apply the transformation subtract -10 to -10-6y?;; You need to enter -6y   on the left side.
You have reviewed resources more. So teach <<tutee>> to solve equations,You have reviewed resources more,You have reviewed resources more. So teach <<tutee>> to solve equations
You need to factor the common factor in the numerator so that you can simplify fractions.; ,factor the common factor ,You need to factor the common factor in the numerator so that you can simplify fractions.; 
"You restarted this problem too many times. How about giving a new problem to Anthony?;; To give a new problem, you have to click the new problem button;; Click the new problem button",restarted this problem too many times,"You restarted this problem too many times. How about giving a new problem to Anthony?;; To give a new problem, you have to click the new problem button;; Click the new problem button"
I think its a good idea to go through the Examples - see the tab above. Make sure you understand all the examples;; Click the Examples tab,go through the Examples,I think its a good idea to go through the Examples - see the tab above. Make sure you understand all the examples;; Click the Examples tab
"I'm sorry, no hint is available at this step;",no hint,"I'm sorry, no hint is available at this step;"
"It can help <<tutee>> to get more practice on the same type of problem.;; You may want to give <<9j+11 = 8>>, since it is similar to a problem that you already tutored <<tutee>>;; Start by putting <9j+11>on the left hand side and <8> on the right hand side of the tutoring interface.",on the same type of problem,"It can help <<tutee>> to get more practice on the same type of problem.;; You may want to give <<9j+11 = 8>>, since it is similar to a problem that you already tutored <<tutee>>;; Start by putting <9j+11>on the left hand side and <8> on the right hand side of the tutoring interface."
It would be a good idea to go through the Unit Overview - see the tab above.;; Click on the Unit Overview tab.,go through the Unit Overview,It would be a good idea to go through the Unit Overview - see the tab above.;; Click on the Unit Overview tab.
"It's a good strategy to quiz <<tutee>>, because it would help you to understand what <<tutee>> already knows;; Go to the Quiz tab and click the Quiz button.",It's a good strategy to quiz,"It's a good strategy to quiz <<tutee>>, because it would help you to understand what <<tutee>> already knows;; Go to the Quiz tab and click the Quiz button."
"Since you passed this quiz section, it would be a good idea to take the quiz on the next section now.;; Go to the Quiz tab and solve a problem of the next section.", take the quiz on the next section,"Since you passed this quiz section, it would be a good idea to take the quiz on the next section now.;; Go to the Quiz tab and solve a problem of the next section."
There is no more work left on the problem. Click on the Problem is Solved button.,no more work left,There is no more work left on the problem. Click on the Problem is Solved button.
"Since you passed this quiz section, it would be a good idea to take the quiz on the next section now.;;Go to the Quiz tab and solve a problem of the next section.",Since you passed this quiz section,"Since you passed this quiz section, it would be a good idea to take the quiz on the next section now.;;Go to the Quiz tab and solve a problem of the next section."
